"date","mjd","trans"
2016-05-21,57529,0.684115040602686
2016-05-22,57530,0.69748205464702
2016-05-23,57531,0.633946454620834
2016-05-24,57532,0.69432169943797
2016-05-25,57533,0.680107874727049
2016-05-26,57534,0.705471544568716
2016-05-27,57535,0.702982234305658
2016-05-28,57536,0.696085746773805
2016-05-29,57537,0.700528364845005
2016-05-30,57538,0.704994754069168
2016-05-31,57539,0.694385785400071
2016-06-01,57540,0.654504316692901
2016-06-02,57541,0.699411602314446
2016-06-03,57542,0.698237620213561
2016-06-04,57543,0.697831794415035
2016-06-05,57544,NA
2016-06-06,57545,NA
2016-06-07,57546,NA
2016-06-08,57547,NA
2016-06-09,57548,0.692907913371611
2016-06-10,57549,0.700169936181793
2016-06-11,57550,NA
2016-06-12,57551,0.707402240722627
2016-06-13,57552,0.696903061563759
2016-06-14,57553,0.70454777186193
2016-06-15,57554,0.706440182419544
2016-06-16,57555,0.70163130521909
2016-06-17,57556,0.702967908932404
2016-06-18,57557,NA
2016-06-19,57558,0.702134896361795
2016-06-20,57559,0.647735978920286
2016-06-21,57560,NA
2016-06-22,57561,NA
2016-06-23,57562,0.580897177588715
2016-06-24,57563,NA
2016-06-25,57564,NA
2016-06-26,57565,NA
2016-06-27,57566,NA
2016-06-28,57567,NA
2016-06-29,57568,0.71200798249717
2016-06-30,57569,0.693312443495397
2016-07-01,57570,0.684291409790126
2016-07-02,57571,0.679167588494471
2016-07-03,57572,0.684957077540735
2016-07-04,57573,0.684484740516173
2016-07-05,57574,0.682155510992119
2016-07-06,57575,0.680572589284705
2016-07-07,57576,0.686261502866655
2016-07-08,57577,0.695943700502014
2016-07-09,57578,0.695174061038675
2016-07-10,57579,0.697520645505475
2016-07-11,57580,0.70811966947631
2016-07-12,57581,0.70471097582789
2016-07-13,57582,0.670185135712072
2016-07-14,57583,0.648744415797601
2016-07-15,57584,NA
2016-07-16,57585,0.563162107170793
2016-07-17,57586,0.659518434107551
2016-07-18,57587,0.652322817396642
2016-07-19,57588,0.691202230772064
2016-07-20,57589,0.537424414584651
2016-07-21,57590,NA
2016-07-22,57591,NA
2016-07-23,57592,NA
2016-07-24,57593,0.622970731051669
2016-07-25,57594,0.569035767805526
2016-07-26,57595,NA
2016-07-27,57596,NA
2016-07-28,57597,NA
2016-07-29,57598,NA
2016-07-30,57599,NA
2016-07-31,57600,NA
2016-08-01,57601,NA
2016-08-02,57602,NA
2016-08-03,57603,NA
2016-08-04,57604,0.628961950148781
2016-08-05,57605,NA
2016-08-06,57606,NA
2016-08-07,57607,NA
2016-08-08,57608,0.717871494126922
2016-08-09,57609,0.72740678039449
2016-08-10,57610,NA
2016-08-11,57611,NA
2016-08-12,57612,NA
2016-08-13,57613,0.651354773960761
2016-08-14,57614,NA
2016-08-15,57615,NA
2016-08-16,57616,NA
2016-08-17,57617,0.713170285607495
2016-08-18,57618,0.65027487702692
2016-08-19,57619,0.720094026015596
2016-08-20,57620,0.720996106460627
2016-08-21,57621,0.726684007485581
2016-08-22,57622,NA
2016-08-23,57623,0.647439567458169
2016-08-24,57624,0.655739412294059
2016-08-25,57625,0.718316560750899
2016-08-26,57626,0.722424186091125
2016-08-27,57627,0.64166895575524
2016-08-28,57628,NA
2016-08-29,57629,NA
2016-08-30,57630,0.62507431959324
2016-08-31,57631,0.678868708692225
2016-09-01,57632,0.697135326857893
2016-09-02,57633,0.712361098271026
2016-09-03,57634,0.6973061816402
2016-09-04,57635,0.698059565885917
2016-09-05,57636,0.70288517320307
2016-09-06,57637,0.700557885101215
2016-09-07,57638,0.702203390316987
2016-09-08,57639,0.67428728992321
2016-09-09,57640,0.693094100788421
2016-09-10,57641,0.702656156070625
2016-09-11,57642,0.710079801190257
2016-09-12,57643,0.700798671299397
2016-09-13,57644,0.683124283663168
2016-09-14,57645,0.700127703935589
2016-09-15,57646,0.714527271132576
2016-09-16,57647,0.719886277947307
2016-09-17,57648,0.717309073384281
2016-09-18,57649,0.702236252205012
2016-09-19,57650,0.713988734864099
2016-09-20,57651,0.703027582295175
2016-09-21,57652,0.706871734576754
2016-09-22,57653,0.702014353720371
2016-09-23,57654,0.716492210907309
2016-09-24,57655,0.7002458412615
2016-09-25,57656,0.728751850463754
2016-09-26,57657,0.722736563178303
2016-09-27,57658,NA
2016-09-28,57659,0.699100405222646
2016-09-29,57660,0.720580204855505
2016-09-30,57661,0.703305381561424
2016-10-01,57662,0.715502425054028
2016-10-02,57663,0.686538243880857
2016-10-03,57664,NA
2016-10-04,57665,0.720719376411258
2016-10-05,57666,NA
2016-10-06,57667,NA
2016-10-07,57668,0.694709317586637
2016-10-08,57669,0.676145551250403
2016-10-09,57670,NA
2016-10-10,57671,0.694635630601228
